CONCELLO,PROVINCIA,ENDEREZO,CÓDIGO POSTAL,TELéFONO,FAX,CORREO ELECTRÓNICO,PORTAL WEB,LATITUD,LONGITUD
Cenlle,Ourense,Trasariz Nº 2 Estrada de Vigo,32459,988400603,988400603,concello@cenlle.es,http://www.cenlle.es ,42.324703,-8.0720947
Chandrexa de Queixa,Ourense,Rúa do Concello 19 (Celeiros),32786,988334000,988334056,concello.chandrexadequeixa@eidolocal.es,http://www.chandrexadequeixa.es,42.260112,-7.378859
Coles,Ourense,Vilarchao  34,32152,988205134,988205107,concellodecoles@concellodecoles.org,,42.41172,-7.839893
Cortegada,Ourense,Rúa Otero Novas Nº 1,32200,988483001,988483217,concello.cortegada@eidolocal.es,http://www.cortegada.es/,42.206579,-8.17179
Cualedro,Ourense,Avda. Portugal Nº 8,32689,988424004,988424026,concello@cualedro.es,http://www.cualedro.es/,41.988153,-7.594058
Entrimo,Ourense,Praza do Concello Nº1 Terra Chan,32860,988434666,988434610,concello.entrimo@eidolocal.es,http://www.concelloentrimo.es/,41.932738,-8.118462
Esgos,Ourense,Praza de Souteira  S/N,32720,988290000,988290006,esgos@concelloesgos.com,http://concelloesgos.com/,42.325515,-7.697425
Gomesende,Ourense,Sobrado Nº 1,32212,988485000,988485001,concellogomesende@yahoo.es,http://www.gomesende.es,42.190222,-8.094099
Larouco,Ourense,Rúa Comercio Nº10 ,32358,988348002,988328513,concellolarouco@telefonica.net,,42.346786,-7.163279
Laza,Ourense,Rúa Castiñeiro Nº 4,32620,988422002,988422002,concello@laza.es,http://www.laza.es/,42.06131,-7.461026
Leiro,Ourense,Rúa Gabino Bugallal  39,32420,988488000,988488463,info@concellodeleiro.com,http://concellodeleiro.wordpress.com/,42.369472,-8.125138
Lobeira,Ourense,Travesía do Toural  Núm. 4,32850,988458513,988459003,lobeira.lobeira@eidolocal.es,http://www.lobeira.es/,41.9867383,-8.0397339
Lobios,Ourense,Estrada de Portugal Nº 27,32870,988448000,988448014,lobios@lobios.org,http://www.lobios.org/,41.903615,-8.083175
Maceda,Ourense,Xardíns Rosalía de Castro  1,32700,988463001,988463163,info@concellodemaceda.org,http://www.concellodemaceda.org,42.270442,-7.653522
Manzaneda,Ourense,Cabarca Nº 10,32781,988333043,988333048,concello.manzaneda.manzaneda@eidolocal.es,http://www.concellodemanzaneda.es/,42.3094857,-7.2342437
Maside,Ourense,Praza Maior Nº 1,32570,988280606,988280684,info@concellodemaside.gal,http://concellodemaside.gal/,42.4116737,-8.0254511
Melón,Ourense,Rua Calvo Sotelo Nº 1,32411,988481620,988481791,melon@inorde.com,http://www.melon.es,42.257395,-8.2160881
Montederramo,Ourense,Praza Montederramo Nº 28,32750,988292000,988292071,concello.montederramo@eidolocal.es,http://www.montederramo.es/,42.275205,-7.502697
Monterrei,Ourense,Rúa Fontiñas Nº2-Albarellos ,32618,988418002,988425700,concello@monterrei.es,http://www.monterrei.es/,41.9527945,-7.495734
Muíños,Ourense,Praza San Rosendo Nº1,32880,988456403,988456480,concello.muinos@eidolocal.es,http://www.concellomuinos.com/,41.957892,-7.971712
Nogueira de Ramuín,Ourense,Estrada de Nogueiras Nº 3  Luíntra ,32160,988201023,988201120,info@nogueiraderamuin.com,http://www.nogueiraderamuin.com/,42.41187,-7.72752
O Barco de Valdeorras,Ourense,Praza do Concello Nº 1,32300,988320202,988325978,alcaldebarco@mundo-r.com,http://www.concellodobarco.org,42.416851,-6.984107
O Bolo,Ourense,Rúa César Conti Nº 33,32373,988323030,988337506,concellodeobolo@hotmail.com,http://www.obolo.es/,42.307449,-7.098844
O Carballiño,Ourense,Plaza Mayor  1,32500,988530007,988530008,concello@carballino.gal,http://carballino.gal,42.429673,-8.077574
O Irixo,Ourense,Plaza Calvo Sotelo Nº 10,32530,988287400,988287584,concelloirixo@yahoo.es,http://www.oirixo.es/,42.5130257307159,-8.119791824026379
O Pereiro de Aguiar,Ourense,Praza do Concello Nº1,32710,988259385,988259395,info@concellopereiro.com,http://www.concellopereiro.com,42.346488,-7.801049
Oímbra,Ourense,Avda. do Carregal  Nº3,32613,988426160,988426160,concello@oimbra.gal,http://www.oimbra.es/,41.884998,-7.476561
Os Blancos,Ourense,Rúa José Luís Baltar S/N-,32634,988467567,988467598,concello.de.osblancos@eidolocal.es,,41.997224,-7.75241
Ourense,Ourense,Praza Maior Nº 1,32005,988388100,988249561,alcaldia@ourense.es,http://www.ourense.gal,42.33554938285051,-7.863896191120148
Paderne de Allariz,Ourense,Rioseco  Nº7,32110,988293000,988293025,paderne@concellodepaderne.net,http://www.padernedeallariz.es/,42.272776,-7.750554
Padrenda,Ourense,San Roque de Crespos  17 ,32226,988494783,988494700,administracion1@concellodepadrenda.com,http://www.concellodepadrenda.com/,42.138666,-8.158558
Parada de Sil,Ourense,Campo da Feira Nº1,32740,988208010,988208010,concello@paradadesil.es,http://www.paradadesil.es/,42.382482,-7.571061
Petín,Ourense,Rúa do Bacelo  7,32356,988310223,988336090,info@petin.gal,http://www.petin.es/,42.38249,-7.126007
Piñor,Ourense,Piñor S/N,32137,988403217,988403320,info@pinor.es,http://www.pinor.es/,42.4996263,-8.0073191
Pontedeva,Ourense,Praza do Estatuto de Galicia S/N,32235,988495005,988482693,concello@pontedeva.es,http://www.pontedeva.es,42.16728,-8.138589
Porqueira,Ourense,Estrada de Xinzo A Bande Nº4-Forxa,32643,988466102,988466232,concello.porqueira@eidolocal.es,,42.018724,-7.847307
Punxín,Ourense,Forxa  Nº 24,32456,988280032,988280043,concellodepunxin@yahoo.es,http://www.punxin.es/,42.371661,-7.999713
Quintela de Leirado,Ourense,Casa do Concello  Leirado Nº 1,32814,988493500,988493546,admin@quinteladeleirado.es,http://www.quinteladeleirado.es,42.130121,-8.09046
Rairiz de Veiga,Ourense,Praza do Concello 1,32652,988465552,988465555,concello.rairizdeveiga@eidolocal.es,http://www.rairizdeveiga.es/,42.08142198699695,-7.831306457533174
Ramirás,Ourense,Picouto S/N,32810,988491523,988478604,concello.ramiras@eidolocal.es,http://www.ramiras.gal,42.186664,-8.023067
Ribadavia,Ourense,Praza Maior Nº 4,32400,988477100,988477101,concello@ribadavia.es,http://www.ribadavia.es,42.287475,-8.143345
Riós,Ourense,Praza de José Antonio 139,32611,988425032,988425145,concello@concelloderios.gal,http://www.concelloderios.gal/,41.974575,-7.282734
Rubiá,Ourense,Rúa do Campo Nº 8,32310,988324146,988342070,concello.rubia@eidolocal.es,,42.44782038817093,-6.946359303819918
San Amaro,Ourense,Estrada Principal Nº 20,32455,988288001,988401430,concello.de.sanamaro@eidolocal.es,,42.374909,-8.07265
San Cibrao das Viñas,Ourense,Praza da Constitución  Nº 1,32911,988381034,988381101,info@sancibrao.es,http://www.sancibrao.es,42.2980661,-7.8738503
San Cristovo de Cea,Ourense,Praza Maior Nº 1,32130,988282000,988282008,concellodecea@concellodecea.com,http://www.concellodecea.com,42.474886,-7.984856
San Xoán de Río,Ourense,Praza da Constitucion  Nº1,32770,988346002,988346130,concello@concellosanxoanderio.com,http://www.sanxoanderio.es/,42.370142,-7.299289
Sandiás,Ourense,Campo San Nicolás  2,32692,988465001,988446048,concello.sandias@inorde.com,http://www.sandias.es,42.111165,-7.757796
Sarreaus,Ourense,Praza do Toural  1,32638,988454002,988454372,concello@concellosarreaus.com,http://www.concellosarreaus.com,42.0879001,-7.6046091
Taboadela,Ourense,Praza do Concello Nº1,32690,988439315,988439312,concello.taboadela@eidolocal.es,http://taboadela.com,42.2551411,-7.8177601
Toén,Ourense,C/ Ribadela Nº 1,32930,988261074,988261272,concello.toen@eidolocal.es,http://www.toen.es,42.314473,-7.955743
Trasmiras,Ourense,Rúa Otero Pedrayo 174,32695,988445000,988445096,correo.trasmiras@eidolocal.es,,42.0253923,-7.6179154
Verea,Ourense,Carballo - Verea,32813,988430600,988430659,concello.verea@eidolocal.es,http://www.concellodeverea.com,42.098863,-7.951564
Verín,Ourense,Praza do Concello  1,32600,988410000,988411900,secretaria@verin.net,http://www.verin.es,41.9383321981303,-7.437055422478807
Viana do Bolo,Ourense,Rúa da Constitución Nº 14,32550,988340120,988329089,concello.vianadobolo@eidolocal.es,http://www.vianadobolo.es ,42.180153,-7.114881
Vilamarín,Ourense,Casa do Concello. Apostol Santiago Nº5,32101,988286000,988286113,concello.vilamarin@eidolocal.es,,42.465077,-7.891367
Vilamartín de Valdeorras,Ourense,Avda. da Constitución Nº 8,32340,988300001,988300268,concello.vilamartin@eidolocal.es,http://www.vilamartindevaldeorras.es ,42.415094,-7.063105
Vilar de Barrio,Ourense,Praza do Toural Nº 10,32702,988449001,988468360,notificacions@vilardebarrio.gal,http://www.vilardebarrio.gal,42.161133,-7.6105003
Vilar de Santos,Ourense,Rúa Celanova Nº 77,32650,988465883,988465863,concello@vilardesantos.com,http://www.vilardesantos.com,42.087156,-7.794199
Vilardevós,Ourense,Paseo Manuel Núñez Nº 36,32616,988417004,988417004,concello@vilardevos.org,http://www.vilardevos.org,41.90627,-7.311348
Vilariño de Conso,Ourense,Rua do Museo Nº 3,32557,988340302,988340269,concello.vilarinodeconso@eidolocal.es,http://www.vilarinodeconso.es/,42.16594911120538,-7.182016450567517
Xinzo de Limia,Ourense,Curros Enríquez  15,32630,988550111,988550112,concello@xinzodelimia-ayto.com,http://www.xinzodelimia.es/,42.063528,-7.7248
Xunqueira de Ambía,Ourense,Praza San Rosendo Nº1,32670,988436069,988436040,jl.gavilanes.xunqueiradeambia@eidolocal.es,http://xunqueiradeambia.org ,42.204092,-7.735255
Xunqueira de Espadanedo,Ourense,Praza dos Amigos S/N,32730,988291001,988291046,concelloxunqueiradeespadanedo@gmail.com,http://www.xunqueiradeespadanedo.es/,42.3184805,-7.6290732
A Cañiza,Pontevedra,Rúa Oriente  11,36880,986651000,986651190,info@caniza.org,http://www.caniza.org,42.21273631019309,-8.273391464553015
A Estrada,Pontevedra,Praza da Constitución  1,36680,986570030,986570233,info@aestrada.gal,http://www.aestrada.gal,42.688413,-8.488972
A Guarda,Pontevedra,Praza do Reló Nº1,36780,986610000,986610283,aguarda@aguarda.es,http://www.aguarda.es,41.9011025537783,-8.87415948234775
A Illa de Arousa,Pontevedra,Rúa Palmeira Nº 25,36626,986527080,986528700,concello@ailladearousa.es,http://www.ailladearousa.es,42.563829818259855,-8.873840726223534
A Lama,Pontevedra,Avda. do Concello  1,36830,986768238,986768282,oficinas@concellodalama.com,http://www.concellodalama.com,42.397577,-8.442746
Agolada,Pontevedra,Praza do Concello  S/N,36520,986788062,986788190,concello@agolada.es,http://www.agolada.es,42.76316086236579,-8.019077946345874
Arbo,Pontevedra,Praza Consistorio  Nº 1,36430,986665000,986665011,oficinas.concellodearbo@gmail.com,http://www.concellodearbo.es/,42.1106786,-8.3128376
As Neves,Pontevedra,Praza da Cristiandade  1,36440,986648038,986648052,concello@asneves.gal,http://www.asneves.gal ,42.088442,-8.415479
Baiona,Pontevedra,Rúa Lorenzo de La Carrera 17-19,36300,986385050,986357474,baiona@baiona.gal,http://www.baiona.gal,42.119348580556256,-8.849593556728905
Barro,Pontevedra,San Antoniño 11 - Perdecanai,36194,986711001,986711001,oficinas@barro.es,http://www.barro.es,42.523578,-8.638022
Bueu,Pontevedra,Rúa Vicenti  Nº 8 ,36930,986390029,986322099,concello@concellodebueu.gal,https://concellodebueu.gal,42.326407,-8.784873
Caldas de Reis,Pontevedra,Ferrería  1,36650,986540002,986530393,concello@caldasdereis.com,http://www.caldasdereis.com,42.602558191141064,-8.6423132212974
Cambados,Pontevedra,Praza do Concello Nº 1,36630,986520902,986524866,alcaldia@cambados.es,http://www.cambados.es,42.515366,-8.814597
Campo Lameiro,Pontevedra,A Lagoa  Praza da Provincia de Pontevedra Nº 1,36110,986752034,986752084,oficinas@campolameiro.com,http://www.campolameiro.org,42.540358,-8.54404
Cangas,Pontevedra,Avda. Castelao Nº 2,36940,986300050,986304850,info@cangas.gal,http://www.cangas.gal,42.263623589839966,-8.780360377636498
Catoira,Pontevedra,Rúa do Concello  Nº 6 Lugar de Outeiriño,36612,986546014,986546217,concello.catoira@eidolocal.es,http://www.catoira.gal,42.6661577,-8.7226726
Cerdedo,Pontevedra,Praza do Concello Nº 1,36130,986753006,986753201,concello@cerdedo.org,http://www.cerdedo.org,42.5324907,-8.393323
Cotobade,Pontevedra,Chan Nº 11. Carballedo.,36071,986760001,986760130,concello.cotobade.cotobade@eidolocal.es,http://www.concellodecotobade.org,42.466692,-8.4961318
Covelo,Pontevedra,Praza do Mestre Cerviño  Nº 2,36872,986650027,986650131,info@concellodecovelo.es,http://www.concellodecovelo.es,42.231895,-8.3635554
Crecente,Pontevedra,Rúa Solis Ruíz Nº 5,36420,986666300,986666251,alcaldia@concellodecrecente.es,http://www.crecente.es/,42.1899781,-8.1884949
Cuntis,Pontevedra,Plaza de La Constitución  Nº4,36670,986548005,986533995,oficinatecnica@cuntis.es,http://www.cuntis.es,42.63313038948223,-8.56289837678446
Dozón,Pontevedra,Avda. Médico Fernando Martínez Iglesias  1 - Castro,36518,986780471,986780810,concello@dozon.gal,http://www.dozon.gal,42.566785114165356,-8.046325600948876
Forcarei,Pontevedra,Praza da Igrexa Nº 1,36550,986755036,986754082,concello.forcarei@forcarei.net,http://www.forcarei.net,42.587824,-8.3511556
Fornelos de Montes,Pontevedra,Praza da Igresa Nº 1,36847,986768409,986768411,fornelos@concellos.depontevedra.es,http://www.fornelos.com,42.34016,-8.453105
Gondomar,Pontevedra,Praza Doctor Latino Salgueiro  Nº1,36380,986360125,986360875,alcaldia@concellodegondomar.es,https://www.concellodegondomar.gal,42.110539,-8.761575
Lalín,Pontevedra,Praza de Galicia  1,36500,986787060,986782042,lalin@lalin.gal,http://lalin.gal/,42.6622577,-8.1135592
Marín,Pontevedra,Avda. de Ourense  s/n,36900,986880300,986882013,alcaldia@concellodemarin.es,http://www.concellodemarin.es,42.39270521284867,-8.698998767538342
Meaño,Pontevedra,Campo da Feira Nº1,36968,986747585,986747391,concellodemeano@concellodemeano.com,http://www.concellodemeano.com,42.444278,-8.781778
Meis,Pontevedra,Avda. Cambados Nº 67,36637,986712001,986715300,correo@concellodemeis.com,http://www.meis.es,42.518383,-8.703656
Moaña,Pontevedra,Rúa As Barxas  2,36950,986310100,986310104,alcaldia@concellodemoana.org,http://www.concellodemoana.org,42.287143,-8.733637
Mondariz,Pontevedra,Praza Merouces  16,36870,986664306,986656006,info@mondariz.gal,https://mondariz.gal/,42.2344261715785,-8.45539812167658
Mondariz-Balneario,Pontevedra,Rúa da Contitución  1,36890,986656136,986662061,concello@mondarizbalneario.es,http://www.mondarizbalneario.es,42.2251824,-8.4704053
Moraña,Pontevedra,Rúa 1  Nº 2 - Santa Lucía,36660,986553005,986553442,concello@morana.org,http://www.morana.org,42.58918932647144,-8.590798455877575
Mos,Pontevedra,Rúa Reguengo S/NPetelos,36416,986331200,986336618,informacion@concellomos.es,https://www.mos.es/,42.175999,-8.630238
Nigrán,Pontevedra,Praza da Constitución  Nº1,36350,986365000,986383931,info@nigran.org,http://www.nigran.es,42.141514,-8.806604
O Grove,Pontevedra,Praza do Corgo  1,36980,986730975,986731358,alcaldia@concellodogrove.com,http://www.concellodogrove.es,42.496475046262496,-8.865145522756848
O Porriño,Pontevedra,Antonio Palacios  1,36400,986335000,986335850,alcaldia@porrino.com,http://www.oporrino.org/,42.160874,-8.615277
O Rosal,Pontevedra,Praza do Calvario  Nº 1,36770,986625000,986626034,oficinasxerais@concellodorosal.es,http://www.concellodorosal.es,41.93687,-8.8373489
Oia,Pontevedra,Vista Alegre  s/n,36794,986362125,986362268,info@concellodeoia.es,http://www.concellodeoia.es,42.002091610425595,-8.873739579520361
Pazos de Borbén,Pontevedra,Lugar Pazos  52,36841,986497035,986497146,concello@pazosdeborben.org,http://pazosdeborben.org,42.29363,-8.528017
Poio,Pontevedra,Convento San Xoán  Praza do Mosteiro  1,36994,986770001,986771277,poio@concellopoio.org,http://www.concellopoio.gal,42.446121,-8.685784
Ponte Caldelas,Pontevedra,Avda. de Galicia Nº 17,36820,986750013,986750020,pontecaldelas@concellos.depontevedra.es,http://www.pontecaldelas.org,42.3908107,-8.5032039
Ponteareas,Pontevedra,Xardíns da Xiralda S/N,36860,986640000,986660647,informacion@ponteareas.org,http://ponteareas.gal/,42.174514,-8.505405
Pontecesures,Pontevedra,Avenida  de Vigo  Nº 2,36640,986557125,986557554,concello@pontecesures.org,http://www.pontecesures.org,42.72174,-8.651009
Pontevedra,Pontevedra,Rúa Michelena  30,36071,986804300,986860102,contacto@pontevedra.gal,http://www.pontevedra.gal,42.432019,-8.647815
Portas,Pontevedra,Curras.,36658,986536161,986536348,portas@concellos.depontevedra.es,,42.580539,-8.657189
Redondela,Pontevedra,Alfonso XII  2,36800,986400300,986403894,alcaldia@redondela.es,http://www.redondela.gal/,42.283782,-8.609041
Ribadumia,Pontevedra,Avda. Ribadumia Nº 3,36636,986718499,986716393,concello@ribadumia.org,http://www.ribadumia.org,42.50308093638791,-8.767743266430443
Rodeiro,Pontevedra,Praza da Fonte  Nº2,36530,986790009,986790195,info@rodeiro.gal,https://www.rodeiro.gal,42.648457,-7.944167
Salceda de Caselas,Pontevedra,Praza do Concello S/N,36470,986349003,986347401,alcaldia@salcedadecaselas.es,http://www.salcedadecaselas.es,42.10221154252366,-8.557818013830456
Salvaterra de Miño,Pontevedra,Praza da Constitucion S/N,36450,986658082,986658360,info@concellodesalvaterra.org,http://www.concellodesalvaterra.org,42.083279219793646,-8.498224693937573
Sanxenxo,Pontevedra,Consistorio  4-6,36960,986720075,986721022,info@sanxenxo.org,https://www.sanxenxo.es,42.400196,-8.80676
Silleda,Pontevedra,Rúa Progreso  41,36540,986580000,986581021,info@silleda.gal,http://www.silleda.es,42.699763,-8.246651
Soutomaior,Pontevedra,Rúa Alexandre Bóveda Nº 8,36691,986705106,986705333,oficinas@soutoMaior.com,https://www.soutomaior.gal,42.33681388669659,-8.571930243188035
Tomiño,Pontevedra,Praza do Seixo  Nº 1,36740,986622003,986622530,comunicacion@tomino.gal,https://tomino.gal,41.991323,-8.742945
Tui,Pontevedra,Praza do Concello  Nº 1,36700,986603625,986600570,concellotui@concellotui.org,http://www.tui.gal,42.0465036,-8.6464834
Valga,Pontevedra,Avda. Coruña Nº 14,36645,986559456,986559455,concello.valga@eidolocal.es,http://www.valga.es,42.699605,-8.648566
Vigo,Pontevedra,Praza do Rei Nº1,36202,986810100,986810217,010@vigo.org,http://hoxe.vigo.org,42.235881,-8.726835
Vila de Cruces,Pontevedra,Praza Juan Carlos I  1,36590,986582017,986582492,info@viladecruces.es,http://www.viladecruces.gal,42.793862436102046,-8.169831115408215
Vilaboa,Pontevedra,Toural  Nº 1,36141,986708215,986708387,info@vilaboa.org,http://www.vilaboa.org,42.348217,-8.644532
Vilagarcía de Arousa,Pontevedra,Praza Ravella  nº1,36600,986099200,986501109,info@vilagarcia.gal,http://www.vilagarcia.es,42.597158741514015,-8.76369364897755
Vilanova de Arousa,Pontevedra,Praza do Concello num. 1,36620,986554021,986554069,rexistro.xeral@vilanovadearousa.gal,http://www.vilanovadearousa.com,42.56202,-8.82668
